t_Android;t_unix;x;y;z;0;a
126606914258850;1764844550910;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126606922663433;1764844550910;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126606931495048;1764844550910;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126606941433017;1764844550910;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126606951370725;1764844550910;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126606961402079;1764844550910;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126606971366610;1764844550923;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126606981341454;1764844550923;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126606991281194;1764844550932;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607001127964;1764844550944;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607011033902;1764844550952;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607021190100;1764844550962;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607031254683;1764844550972;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607041091506;1764844550982;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607050537027;1764844550991;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607060804527;1764844551001;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607070723433;1764844551011;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607080807860;1764844551022;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607090603537;1764844551031;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607100845829;1764844551041;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607110627392;1764844551051;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607120706819;1764844551061;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607130372756;1764844551071;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607140325152;1764844551081;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607150237964;1764844551091;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607159889631;1764844551100;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607169850985;1764844551110;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607180376142;1764844551124;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607189729214;1764844551130;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607199965464;1764844551141;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607209936142;1764844551150;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607219842808;1764844551161;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607229800569;1764844551171;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607239763746;1764844551180;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607249689319;1764844551191;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607259667079;1764844551200;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607269185569;1764844551210;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607279496089;1764844551220;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607289439631;1764844551232;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607299602183;1764844551240;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607309354423;1764844551250;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607319258277;1764844551260;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607329358798;1764844551271;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607339192704;1764844551280;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607348908225;1764844551290;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607359125829;1764844551300;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607368741871;1764844551310;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607379071246;1764844551322;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607388711714;1764844551330;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607398643121;1764844551340;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607408556558;1764844551350;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607418692912;1764844551360;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607428742444;1764844551376;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607438660673;1764844551380;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607448231089;1764844551392;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607458179631;1764844551399;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607468508381;1764844551409;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607478096246;1764844551419;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607488206819;1764844551429;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607498517444;1764844551442;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607507680048;1764844551449;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607518047860;1764844551459;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607527524110;1764844551468;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607537649892;1764844551478;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607547755621;1764844551489;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607557500881;1764844551498;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607567294006;1764844551509;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607577971506;1764844551519;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607587509371;1764844551529;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607597547027;1764844551538;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607607075569;1764844551548;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607617962183;1764844551561;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607627087235;1764844551580;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607637071142;1764844551580;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607647397339;1764844551588;-0.63423675;-0.11316471;0.23894069;0.72652936;3
126607657443850;1764844551598;-0.63423675;-0.11316471;0.23894069;0.72652936;3
