t_Android;t_unix;x;y;z;0;a
123784342778479;1764841728288;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784350602125;1764841728344;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784357521500;1764841728344;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784367428948;1764841728344;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784377151813;1764841728344;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784387296552;1764841728344;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784397420302;1764841728344;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784407183688;1764841728359;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784417114625;1764841728359;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784427070823;1764841728374;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784437084729;1764841728380;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784446959052;1764841728388;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784456888167;1764841728398;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784466830406;1764841728407;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784476764313;1764841728417;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784486901865;1764841728428;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784496618167;1764841728443;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784506589156;1764841728448;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784516586136;1764841728457;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784526582698;1764841728469;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784536417959;1764841728477;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784546428896;1764841728487;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784556307542;1764841728497;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784566325302;1764841728507;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784576320771;1764841728517;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784586327594;1764841728527;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784596218271;1764841728537;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784605752646;1764841728546;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784615855823;1764841728556;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784625756917;1764841728566;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784635860042;1764841728576;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784645735198;1764841728586;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784655705250;1764841728596;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784665674729;1764841728606;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784675593271;1764841728616;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784685541917;1764841728628;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784695481709;1764841728636;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784705447594;1764841728646;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784715380667;1764841728656;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784725379834;1764841728666;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784735323375;1764841728680;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784745382334;1764841728686;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784755211188;1764841728697;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784765168896;1764841728706;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784775061761;1764841728716;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784785021500;1764841728726;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784794981865;1764841728736;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784805155354;1764841728747;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784815131604;1764841728756;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784824995042;1764841728766;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784834819000;1764841728776;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784844816813;1764841728786;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784854722646;1764841728795;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784864722959;1764841728806;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784874576709;1764841728815;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784884554469;1764841728826;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784894479209;1764841728835;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784904262906;1764841728845;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784914178584;1764841728855;0.16233118;-0.043615296;0.83330816;0.5266344;3
123784924117334;1764841728865;0.16233118;-0.043615296;0.83330816;0.5266344;3
