t_Android;t_unix;steps;a
123722151990429;1764841728287;22807.0;3
123793969394365;1764841742473;22807.0;3
123797232439834;1764841742473;22807.0;3
123797235701240;1764841742473;22807.0;3
123797731078011;1764841742473;22807.0;3
123798235526396;1764841742473;22807.0;3
123798724340771;1764841742666;22814.0;3
123799221133011;1764841743167;22814.0;3
123799718210042;1764841743662;22814.0;3
123803197777229;1764841747146;22814.0;3
123803694939573;1764841747657;22814.0;3
123804689056448;1764841748637;22814.0;3
123805186137802;1764841749148;22814.0;3
123812672558479;1764841756616;22825.0;3
123813169789156;1764841757122;22825.0;3
123813667374990;1764841757615;22825.0;3
123814163894729;1764841758125;22825.0;3
123814661009886;1764841758614;22825.0;3
123815158122021;1764841759105;22825.0;3
123815655234990;1764841759604;22825.0;3
123901656464318;1764841874427;22831.0;3
123902148498224;1764841874427;22831.0;3
123902647027808;1764841874427;22831.0;3
123989140186951;1764841933086;22834.0;3
123989637320753;1764841933583;22834.0;3
123990134545076;1764841934080;22834.0;3
123990631602264;1764841934580;22838.0;3
123991128757680;1764841935075;22838.0;3
124005545996795;1764841949493;22864.0;3
124006043710493;1764841950001;22864.0;3
124006540286795;1764841950491;22864.0;3
124007037437055;1764841950993;22864.0;3
124007534660285;1764841951500;22864.0;3
124008031732785;1764841951978;22864.0;3
124008528870962;1764841952473;22864.0;3
124009026021303;1764841952973;22864.0;3
124009523246096;1764841953471;22864.0;3
124010020539273;1764841953973;22864.0;3
124010517457710;1764841954473;22891.0;3
124011014630940;1764841954978;22891.0;3
124011511746460;1764841955476;22891.0;3
124012008895210;1764841955959;22891.0;3
124012506047658;1764841956464;22891.0;3
124013003931565;1764841956951;22891.0;3
124013500362450;1764841957445;22891.0;3
124013997474065;1764841957952;22891.0;3
124014494662398;1764841958450;22891.0;3
124014991756356;1764841958944;22891.0;3
124015488906617;1764841959433;22891.0;3
124015986059221;1764841959944;22891.0;3
124017974608960;1764841961939;22891.0;3
124018471751148;1764841962426;22891.0;3
124018968892606;1764841962922;22891.0;3
124019466043388;1764841963412;22891.0;3
124019963308960;1764841963905;22891.0;3
124020460325367;1764841964408;22891.0;3
124020957444065;1764841964903;22910.0;3
124021454632606;1764841965411;22910.0;3
124022448876304;1764841966406;22910.0;3
124022946004846;1764841966893;22910.0;3
124023443278908;1764841967391;22910.0;3
124023940278596;1764841967884;22910.0;3
124024437418960;1764841968385;22910.0;3
124024934652450;1764841968884;22910.0;3
124025431686825;1764841969380;22910.0;3
124025928822450;1764841969874;22910.0;3
124026425960627;1764841970375;22910.0;3
124026923190575;1764841970867;22910.0;3
124027420241565;1764841971366;22910.0;3
124027917376044;1764841971861;22910.0;3
124028414566773;1764841972358;22910.0;3
124028911637919;1764841972861;22910.0;3
124029408772971;1764841973365;22910.0;3
124029905901304;1764841973869;22910.0;3
124030900157658;1764841974854;22929.0;3
124031397304638;1764841975351;22929.0;3
124031894905210;1764841975841;22929.0;3
124032391571513;1764841976343;22929.0;3
124032888678856;1764841976837;22929.0;3
124033385815419;1764841977332;22929.0;3
124033883705263;1764841977834;22929.0;3
124034380085002;1764841978333;22929.0;3
124034877219794;1764841978827;22929.0;3
124035374357502;1764841979332;22929.0;3
124035871483127;1764841979817;22929.0;3
124036368621252;1764841980315;22929.0;3
124036865772346;1764841980812;22929.0;3
124037363690054;1764841981310;22929.0;3
124037860025523;1764841981809;22929.0;3
124038854435315;1764841982808;22929.0;3
124039351420888;1764841983298;22929.0;3
124039848560054;1764841983811;22929.0;3
124040345689221;1764841984300;22929.0;3
124041339959325;1764841985288;22947.0;3
124041837095002;1764841985805;22947.0;3
124042334386929;1764841986281;22947.0;3
124042831358752;1764841986775;22947.0;3
124043328485940;1764841987286;22947.0;3
124044323556825;1764841988269;22947.0;3
124044819898804;1764841988776;22947.0;3
124045317034690;1764841989274;22947.0;3
124046311282033;1764841990255;22947.0;3
124046808412710;1764841990755;22947.0;3
124047305566044;1764841991263;22947.0;3
124047803452502;1764841991766;22947.0;3
124048299827450;1764841992244;22947.0;3
124048796958440;1764841992744;22947.0;3
124049294195627;1764841993239;22947.0;3
124050288354169;1764841994242;22947.0;3
124050785478596;1764841994728;22964.0;3
124051283357710;1764841995238;22964.0;3
124051779749481;1764841995727;22964.0;3
124052276867815;1764841996228;22964.0;3
124052774083231;1764841996724;22964.0;3
124053271150002;1764841997216;22964.0;3
124053768284273;1764841997718;22964.0;3
124054763327815;1764841998707;22964.0;3
124055259679325;1764841999203;22964.0;3
124056254082763;1764842000199;22964.0;3
124056751064533;1764842000713;22964.0;3
124058243031356;1764842002185;22964.0;3
124059236743179;1764842003181;22964.0;3
124059733998492;1764842003684;22964.0;3
124060231018804;1764842004191;22964.0;3
124060728131565;1764842004676;22971.0;3
124061722984013;1764842005691;22971.0;3
124062219546565;1764842006184;22971.0;3
124063213975783;1764842007168;22971.0;3
124065202364221;1764842009150;22971.0;3
124066694361252;1764842010641;22971.0;3
