t_Android;t_unix;x;y;z;a
123784310332698;1764841728287;21.993752;-6.3562503;-31.875002;3
123784320332698;1764841728287;21.993752;-6.3562503;-31.875002;3
123784330332698;1764841728287;21.993752;-6.3562503;-31.875002;3
123784340332698;1764841728287;21.993752;-6.3562503;-31.875002;3
123784350332698;1764841728344;21.993752;-6.3562503;-31.875002;3
123784360332698;1764841728344;21.993752;-6.3562503;-31.875002;3
123784370332698;1764841728344;21.993752;-6.3562503;-31.875002;3
123784380332698;1764841728344;21.993752;-6.3562503;-31.875002;3
123784390332698;1764841728344;21.993752;-6.3562503;-31.875002;3
123784400332698;1764841728359;21.993752;-6.3562503;-31.875002;3
123784410332698;1764841728359;21.993752;-6.3562503;-31.875002;3
123784420332698;1764841728366;21.993752;-6.3562503;-31.875002;3
123784430332698;1764841728380;21.993752;-6.3562503;-31.875002;3
123784440332698;1764841728387;21.993752;-6.3562503;-31.875002;3
123784450332698;1764841728396;21.993752;-6.3562503;-31.875002;3
123784460332698;1764841728405;21.993752;-6.3562503;-31.875002;3
123784470332698;1764841728415;21.993752;-6.3562503;-31.875002;3
123784480332698;1764841728425;21.993752;-6.3562503;-31.875002;3
123784490332698;1764841728443;21.993752;-6.3562503;-31.875002;3
123784500332698;1764841728445;21.993752;-6.3562503;-31.875002;3
123784510332698;1764841728455;21.993752;-6.3562503;-31.875002;3
123784520332698;1764841728465;21.993752;-6.3562503;-31.875002;3
123784530332698;1764841728475;21.993752;-6.3562503;-31.875002;3
123784540332698;1764841728485;21.993752;-6.3562503;-31.875002;3
123784550332698;1764841728495;21.993752;-6.3562503;-31.875002;3
123784560332698;1764841728505;21.993752;-6.3562503;-31.875002;3
123784570332698;1764841728515;21.993752;-6.3562503;-31.875002;3
123784580332698;1764841728525;21.993752;-6.3562503;-31.875002;3
123784590332698;1764841728535;21.993752;-6.3562503;-31.875002;3
123784600332698;1764841728545;21.993752;-6.3562503;-31.875002;3
123784610332698;1764841728556;21.993752;-6.3562503;-31.875002;3
123784620332698;1764841728567;21.993752;-6.3562503;-31.875002;3
123784630332698;1764841728576;21.993752;-6.3562503;-31.875002;3
123784640332698;1764841728587;21.993752;-6.3562503;-31.875002;3
123784650332698;1764841728596;21.993752;-6.3562503;-31.875002;3
123784660332698;1764841728606;21.993752;-6.3562503;-31.875002;3
123784670332698;1764841728616;21.993752;-6.3562503;-31.875002;3
123784680332698;1764841728628;21.993752;-6.3562503;-31.875002;3
123784690332698;1764841728636;21.993752;-6.3562503;-31.875002;3
123784700332698;1764841728646;21.993752;-6.3562503;-31.875002;3
123784710332698;1764841728656;21.993752;-6.3562503;-31.875002;3
123784720332698;1764841728666;21.993752;-6.3562503;-31.875002;3
123784730332698;1764841728680;21.993752;-6.3562503;-31.875002;3
123784740332698;1764841728686;21.993752;-6.3562503;-31.875002;3
123784750332698;1764841728697;21.993752;-6.3562503;-31.875002;3
