t_Android;t_unix;x;y;z;a
123784329340615;1764841728287;-1.39965;-0.13489178;9.7053175;3
123784334310927;1764841728287;-1.39965;-0.13489178;9.7053175;3
123784339281240;1764841728287;-1.39965;-0.13489178;9.7053175;3
123784344251552;1764841728344;-1.39965;-0.13489178;9.7053175;3
123784349221865;1764841728344;-1.39965;-0.13489178;9.7053175;3
123784354192177;1764841728344;-1.39965;-0.13489178;9.7053175;3
123784359162490;1764841728344;-1.39965;-0.13489178;9.7053175;3
123784364132802;1764841728344;-1.39965;-0.13489178;9.7053175;3
123784369103115;1764841728344;-1.39965;-0.13489178;9.7053175;3
123784374073427;1764841728344;-1.39965;-0.13489178;9.7053175;3
123784379043740;1764841728344;-1.39965;-0.13489178;9.7053175;3
123784384014052;1764841728344;-1.39965;-0.13489178;9.7053175;3
123784388984365;1764841728344;-1.39965;-0.13489178;9.7053175;3
123784393954677;1764841728344;-1.39965;-0.13489178;9.7053175;3
123784398924990;1764841728344;-1.39965;-0.13489178;9.7053175;3
123784403895302;1764841728359;-1.39965;-0.13489178;9.7053175;3
123784408865615;1764841728359;-1.39965;-0.13489178;9.7053175;3
123784413836136;1764841728359;-1.39965;-0.13489178;9.7053175;3
123784418806709;1764841728364;-1.39965;-0.13489178;9.7053175;3
123784423777281;1764841728374;-1.39965;-0.13489178;9.7053175;3
123784428747854;1764841728374;-1.39965;-0.13489178;9.7053175;3
123784433718427;1764841728380;-1.39965;-0.13489178;9.7053175;3
123784438689000;1764841728383;-1.39965;-0.13489178;9.7053175;3
123784443659573;1764841728388;-1.39965;-0.13489178;9.7053175;3
123784448630146;1764841728395;-1.39965;-0.13489178;9.7053175;3
123784453600719;1764841728398;-1.39965;-0.13489178;9.7053175;3
123784458571292;1764841728403;-1.39965;-0.13489178;9.7053175;3
123784463541865;1764841728408;-1.39965;-0.13489178;9.7053175;3
123784468512438;1764841728413;-1.39965;-0.13489178;9.7053175;3
123784473483011;1764841728417;-1.39965;-0.13489178;9.7053175;3
123784478453584;1764841728425;-1.39965;-0.13489178;9.7053175;3
123784483424156;1764841728428;-1.39965;-0.13489178;9.7053175;3
123784488394729;1764841728433;-1.39965;-0.13489178;9.7053175;3
123784493365302;1764841728443;-1.39965;-0.13489178;9.7053175;3
123784498335875;1764841728443;-1.39965;-0.13489178;9.7053175;3
123784503306448;1764841728448;-1.39965;-0.13489178;9.7053175;3
123784508277021;1764841728453;-1.39965;-0.13489178;9.7053175;3
123784513247490;1764841728457;-1.39965;-0.13489178;9.7053175;3
123784518217802;1764841728463;-1.39965;-0.13489178;9.7053175;3
123784523188115;1764841728469;-1.39965;-0.13489178;9.7053175;3
123784528158427;1764841728473;-1.39965;-0.13489178;9.7053175;3
123784533128740;1764841728477;-1.39965;-0.13489178;9.7053175;3
123784538099052;1764841728483;-1.39965;-0.13489178;9.7053175;3
123784543069365;1764841728487;-1.39965;-0.13489178;9.7053175;3
123784548039677;1764841728493;-1.39965;-0.13489178;9.7053175;3
123784553009990;1764841728497;-1.39965;-0.13489178;9.7053175;3
123784557980302;1764841728503;-1.39965;-0.13489178;9.7053175;3
123784562950615;1764841728507;-1.39965;-0.13489178;9.7053175;3
123784567920927;1764841728513;-1.39965;-0.13489178;9.7053175;3
123784572891240;1764841728517;-1.39965;-0.13489178;9.7053175;3
123784577861552;1764841728523;-1.39965;-0.13489178;9.7053175;3
123784582831865;1764841728527;-1.39965;-0.13489178;9.7053175;3
123784587802177;1764841728533;-1.39965;-0.13489178;9.7053175;3
123784592772490;1764841728537;-1.39965;-0.13489178;9.7053175;3
123784597742802;1764841728543;-1.39965;-0.13489178;9.7053175;3
123784602713115;1764841728546;-1.39965;-0.13489178;9.7053175;3
123784607683688;1764841728552;-1.39965;-0.13489178;9.7053175;3
123784612654261;1764841728556;-1.39965;-0.13489178;9.7053175;3
123784617624834;1764841728562;-1.39965;-0.13489178;9.7053175;3
123784622595406;1764841728566;-1.39965;-0.13489178;9.7053175;3
123784627565979;1764841728572;-1.39965;-0.13489178;9.7053175;3
123784632536552;1764841728576;-1.39965;-0.13489178;9.7053175;3
123784637507125;1764841728582;-1.39965;-0.13489178;9.7053175;3
123784642477698;1764841728586;-1.39965;-0.13489178;9.7053175;3
123784647448271;1764841728592;-1.39965;-0.13489178;9.7053175;3
123784652418844;1764841728596;-1.39965;-0.13489178;9.7053175;3
123784657389417;1764841728602;-1.39965;-0.13489178;9.7053175;3
123784662359990;1764841728606;-1.39965;-0.13489178;9.7053175;3
123784667330563;1764841728612;-1.39965;-0.13489178;9.7053175;3
123784672301136;1764841728616;-1.39965;-0.13489178;9.7053175;3
123784677271709;1764841728622;-1.39965;-0.13489178;9.7053175;3
123784682242281;1764841728628;-1.39965;-0.13489178;9.7053175;3
123784687212854;1764841728632;-1.39965;-0.13489178;9.7053175;3
123784692183427;1764841728636;-1.39965;-0.13489178;9.7053175;3
123784697154000;1764841728645;-1.39965;-0.13489178;9.7053175;3
123784702124573;1764841728647;-1.39965;-0.13489178;9.7053175;3
123784707094990;1764841728652;-1.39965;-0.13489178;9.7053175;3
123784712065302;1764841728656;-1.39965;-0.13489178;9.7053175;3
123784717035615;1764841728662;-1.39965;-0.13489178;9.7053175;3
123784722005927;1764841728666;-1.39965;-0.13489178;9.7053175;3
123784726976240;1764841728672;-1.39965;-0.13489178;9.7053175;3
123784731946552;1764841728680;-1.39965;-0.13489178;9.7053175;3
123784736916865;1764841728682;-1.39965;-0.13489178;9.7053175;3
123784741887177;1764841728686;-1.39965;-0.13489178;9.7053175;3
123784746857490;1764841728692;-1.39965;-0.13489178;9.7053175;3
123784751827802;1764841728697;-1.39965;-0.13489178;9.7053175;3
123784756798115;1764841728701;-1.39965;-0.13489178;9.7053175;3
123784761768427;1764841728706;-1.39965;-0.13489178;9.7053175;3
