t_Android;t_unix;x;y;z;0;a
122027143065768;1764839971137;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027149389934;1764839971137;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027158872174;1764839971137;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027167859309;1764839971137;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027177818059;1764839971137;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027187812174;1764839971137;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027197548111;1764839971163;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027207463788;1764839971163;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027217694049;1764839971163;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027227610872;1764839971169;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027237443788;1764839971178;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027247370976;1764839971188;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027257327382;1764839971198;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027267287538;1764839971208;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027277330143;1764839971218;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027287192851;1764839971230;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027297243945;1764839971238;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027307186393;1764839971248;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027317049882;1764839971258;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027327189518;1764839971268;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027337531497;1764839971278;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027347086913;1764839971288;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027357317018;1764839971298;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027366953007;1764839971308;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027376806028;1764839971317;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027386733111;1764839971328;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027396708893;1764839971337;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027407173893;1764839971349;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027416463893;1764839971357;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027426484882;1764839971367;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027436811757;1764839971378;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027446520716;1764839971387;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027456169153;1764839971397;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027466146705;1764839971407;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027476155143;1764839971417;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027486554830;1764839971427;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027495982330;1764839971437;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027506771653;1764839971448;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027515869934;1764839971456;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027526044361;1764839971467;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027535871757;1764839971477;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027546680716;1764839971488;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027555630351;1764839971496;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027565604205;1764839971506;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027575501028;1764839971516;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027585497122;1764839971527;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027594911861;1764839971536;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027605515976;1764839971546;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027615541028;1764839971557;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027625304049;1764839971567;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027635171288;1764839971576;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027645141913;1764839971586;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027655196080;1764839971596;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027665045351;1764839971606;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027674932799;1764839971616;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027684907538;1764839971626;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027694811861;1764839971642;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027704689413;1764839971646;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027714612538;1764839971655;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027724678841;1764839971666;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027734500663;1764839971675;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027744631601;1764839971686;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027754442330;1764839971697;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027764626341;1764839971706;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027774236601;1764839971715;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027784250143;1764839971725;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027794190195;1764839971735;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027804537434;1764839971747;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027814299726;1764839971755;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027824115559;1764839971765;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027833876861;1764839971775;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027843943424;1764839971785;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027853916966;1764839971795;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027863703111;1764839971805;0.0057859523;0.004406194;0.8604032;0.50956225;3
122027874195299;1764839971815;0.0057859523;0.004406194;0.8604032;0.50956225;3
